Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Indicator Template - Negative,Chrome 144.0.7559.110,,,03-02-2026 09:59:27,03-02-2026 10:02:46,3m - 19.330s,FAILED
,,,,,,,
Start listener action : setupCrudData,Chrome 144.0.7559.110,,,03-02-2026 09:59:27,03-02-2026 09:59:28,0.838s,PASSED
,,,,,,,
Test Cases/Module - Auth/Positive/Login User,Chrome 144.0.7559.110,,,03-02-2026 09:59:28,03-02-2026 09:59:40,12.533s,PASSED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 09:59:28,03-02-2026 09:59:28,0.009s,PASSED
openBrowser(Url),Chrome 144.0.7559.110,,,03-02-2026 09:59:28,03-02-2026 09:59:31,3.130s,PASSED
maximizeWindow(),Chrome 144.0.7559.110,,,03-02-2026 09:59:31,03-02-2026 09:59:31,0.080s,PASSED
"setText(findTestObject(""login session object/Input - Email""), Email)",Chrome 144.0.7559.110,,,03-02-2026 09:59:31,03-02-2026 09:59:38,6.436s,PASSED
"setText(findTestObject(""login session object/Input - Password""), Password)",Chrome 144.0.7559.110,,,03-02-2026 09:59:38,03-02-2026 09:59:39,1.562s,PASSED
"click(findTestObject(""login session object/Button - Login""))",Chrome 144.0.7559.110,,,03-02-2026 09:59:39,03-02-2026 09:59:40,1.203s,PASSED
,,,,,,,
Test Cases/Click - Fixed Asset Button,Chrome 144.0.7559.110,,,03-02-2026 09:59:40,03-02-2026 09:59:47,7.114s,PASSED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 09:59:40,03-02-2026 09:59:40,0.008s,PASSED
"click(findTestObject(""login session object/Button - Fixed Asset""))",Chrome 144.0.7559.110,,,03-02-2026 09:59:40,03-02-2026 09:59:47,6.984s,PASSED
,,,,,,,
Test Cases/Module - Addon/Submodule - Maintenance Routine/Open - Addon Maintenance Routine,Chrome 144.0.7559.110,,,03-02-2026 09:59:47,03-02-2026 10:00:18,30.398s,FAILED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 09:59:47,03-02-2026 09:59:47,0.002s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Sidebar Menu - Addon""))",Chrome 144.0.7559.110,,,03-02-2026 09:59:48,03-02-2026 10:00:18,30.338s,FAILED
,,,,,,,
Test Cases/Module - Addon/Submodule - Maintenance Routine/Negative (New)/Create - Indicator Template with Template name Empty,Chrome 144.0.7559.110,,,03-02-2026 10:00:18,03-02-2026 10:00:49,30.734s,FAILED
"DATA BINDING - {""(Default) varia..."":""""}",,,,,,,
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 10:00:18,03-02-2026 10:00:18,0.002s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Tab - Operations""))",Chrome 144.0.7559.110,,,03-02-2026 10:00:18,03-02-2026 10:00:49,30.547s,FAILED
,,,,,,,
Test Cases/Module - Addon/Submodule - Maintenance Routine/Negative (New)/Create - Indicator Template with Empty Category,Chrome 144.0.7559.110,,,03-02-2026 10:00:49,03-02-2026 10:01:29,40.147s,PASSED
"DATA BINDING - {""(Default) varia..."":""""}",,,,,,,
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 10:00:49,03-02-2026 10:00:49,0.004s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Tab - Operations""))",Chrome 144.0.7559.110,,,03-02-2026 10:00:49,03-02-2026 10:00:58,8.818s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Badge - Indicator""))",Chrome 144.0.7559.110,,,03-02-2026 10:00:58,03-02-2026 10:01:00,2.483s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Button - Add Template""))",Chrome 144.0.7559.110,,,03-02-2026 10:01:00,03-02-2026 10:01:02,2.326s,PASSED
"setText(findTestObject(""Object - Maintenance Routine/Input - Template Name""), ""Testing Template Selection"")",Chrome 144.0.7559.110,,,03-02-2026 10:01:02,03-02-2026 10:01:04,1.853s,PASSED
