Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Schecule,Chrome 144.0.7559.110,,,03-02-2026 14:08:23,03-02-2026 14:09:54,1m - 30.021s,FAILED
,,,,,,,
Start listener action : setupCrudData,Chrome 144.0.7559.110,,,03-02-2026 14:08:24,03-02-2026 14:08:24,0.678s,PASSED
,,,,,,,
Test Cases/Module - Auth/Positive/Login User,Chrome 144.0.7559.110,,,03-02-2026 14:08:24,03-02-2026 14:08:44,19.667s,PASSED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 14:08:24,03-02-2026 14:08:24,0.008s,PASSED
openBrowser(Url),Chrome 144.0.7559.110,,,03-02-2026 14:08:24,03-02-2026 14:08:29,4.860s,PASSED
maximizeWindow(),Chrome 144.0.7559.110,,,03-02-2026 14:08:29,03-02-2026 14:08:29,0.064s,PASSED
"setText(findTestObject(""login session object/Input - Email""), Email)",Chrome 144.0.7559.110,,,03-02-2026 14:08:29,03-02-2026 14:08:41,11.914s,PASSED
"setText(findTestObject(""login session object/Input - Password""), Password)",Chrome 144.0.7559.110,,,03-02-2026 14:08:41,03-02-2026 14:08:43,1.545s,PASSED
"click(findTestObject(""login session object/Button - Login""))",Chrome 144.0.7559.110,,,03-02-2026 14:08:43,03-02-2026 14:08:44,1.173s,PASSED
,,,,,,,
Test Cases/Click - Fixed Asset Button,Chrome 144.0.7559.110,,,03-02-2026 14:08:44,03-02-2026 14:08:52,8.270s,PASSED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 14:08:44,03-02-2026 14:08:44,0.005s,PASSED
"click(findTestObject(""login session object/Button - Fixed Asset""))",Chrome 144.0.7559.110,,,03-02-2026 14:08:44,03-02-2026 14:08:52,8.188s,PASSED
,,,,,,,
Test Cases/Module - Addon/Submodule - Maintenance Routine/Open - Addon Maintenance Routine,Chrome 144.0.7559.110,,,03-02-2026 14:08:52,03-02-2026 14:09:23,30.327s,FAILED
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 14:08:52,03-02-2026 14:08:52,0.003s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Sidebar Menu - Addon""))",Chrome 144.0.7559.110,,,03-02-2026 14:08:52,03-02-2026 14:09:23,30.228s,FAILED
,,,,,,,
Test Cases/Module - Addon/Submodule - Maintenance Routine/Positive/Create Schedule - From Maintenance routine,Chrome 144.0.7559.110,,,03-02-2026 14:09:23,03-02-2026 14:09:53,30.545s,FAILED
"DATA BINDING - {""(Default) secon..."":""Value 2"",""(Default) first..."":""Value 1""}",,,,,,,
Start listener action : setupNameData,Chrome 144.0.7559.110,,,03-02-2026 14:09:23,03-02-2026 14:09:23,0.006s,PASSED
"click(findTestObject(""Object - Maintenance Routine/Tab - Operations""))",Chrome 144.0.7559.110,,,03-02-2026 14:09:23,03-02-2026 14:09:53,30.251s,FAILED
